"(9,1,1)",0.737
"(0,1,6)",0.739
"(8,1,1)",0.739
"(3,1,5)",0.769
"(3,1,4)",0.785
"(4,1,6)",0.79
"(6,1,2)",0.793
"(0,2,2)",0.795
"(7,1,2)",0.796
"(5,1,6)",0.797
"(8,1,2)",0.804
"(9,1,2)",0.804
"(6,1,3)",0.812
"(7,1,4)",0.815
"(10,1,0)",0.818
"(10,1,1)",0.819
"(11,1,0)",0.82
"(7,1,6)",0.842
"(2,2,1)",0.843
"(3,2,1)",0.86
"(8,1,5)",0.868
"(9,1,5)",0.868
"(9,1,4)",0.868
"(4,2,1)",0.896
"(5,2,1)",0.898
"(7,1,8)",0.9
"(7,1,7)",0.902
"(8,1,6)",0.902
"(10,1,3)",0.904
"(6,1,8)",0.904
"(10,1,2)",0.905
"(11,1,2)",0.907
"(8,1,7)",0.913
"(0,2,3)",0.914
"(5,1,9)",0.915
"(4,2,2)",0.926
"(5,2,2)",0.927
"(10,1,5)",0.936
"(10,1,4)",0.936
"(6,2,2)",0.938
"(10,1,6)",0.939
"(7,2,2)",0.944
"(7,2,1)",0.949
"(10,1,7)",0.951
"(10,1,8)",0.959
"(10,1,9)",0.961
"(8,1,8)",0.966
"(9,1,10)",0.98
"(9,1,9)",0.98
"(8,1,9)",0.983
"(10,1,11)",0.988
"(10,1,10)",0.988
"(10,1,12)",0.991
"(8,1,10)",0.998
"(4,2,4)",1.03
"(8,2,1)",1.047
"(0,2,6)",1.061
"(9,2,1)",1.063
"(0,2,8)",1.068
"(3,2,5)",1.08
"(8,2,2)",1.081
"(5,2,7)",1.09
"(6,2,8)",1.106
"(3,2,9)",1.112
"(4,2,8)",1.113
"(1,2,7)",1.129
"(1,2,8)",1.139
"(3,2,7)",1.141
"(0,2,1)",1.146
"(1,2,6)",1.15
"(6,2,3)",1.156
"(7,2,8)",1.157
"(7,2,4)",1.167
"(1,2,9)",1.175
"(0,2,4)",1.179
"(4,2,7)",1.181
"(7,2,9)",1.188
"(2,2,9)",1.196
"(8,2,5)",1.206
"(9,2,5)",1.206
"(10,2,1)",1.22
"(6,2,7)",1.228
"(8,2,8)",1.238
"(10,2,2)",1.243
"(0,2,11)",1.255
"(9,2,11)",1.257
"(10,2,3)",1.259
"(8,2,11)",1.268
"(10,2,4)",1.269
"(10,2,5)",1.27
"(8,2,9)",1.274
"(11,2,2)",1.274
"(12,2,1)",1.276
"(12,2,2)",1.276
"(12,2,3)",1.278
"(11,2,3)",1.278
"(11,2,4)",1.278
"(11,2,5)",1.278
"(10,2,9)",1.28
"(12,2,5)",1.28
"(12,2,6)",1.282
"(10,2,8)",1.282
"(11,2,10)",1.29
"(12,2,9)",1.29
"(11,2,9)",1.29
"(10,2,12)",1.291
"(10,2,11)",1.291
"(11,2,12)",1.292
"(11,2,11)",1.292
"(12,2,10)",1.293
