epochs,rmse,loss
500, 0.603,0.912
750, 0.578,0.820
1000,0.421,0.497
1250,0.406,0.454
1500,0.361,0.433
1750,0.373,0.379
2000,0.346,0.316
2250,0.284,0.252
2500,0.276,0.254
2750,0.267,0.262
3000,0.283,0.264
3250,0.199,0.171
3500,0.207,0.164
3750,0.200,0.168
4000,0.203,0.152
4250,0.176,0.128
4500,0.239,0.193
4750,0.160,0.121
5000,0.159,0.114
5250,0.186,0.135
5500,0.137,0.094
5750,0.150,0.104
6000,0.140,0.101
6250,0.133,0.087
6500,0.130,0.092
6750,0.133,0.087
7000,0.142,0.097
7250,0.125,0.094
7500,0.121,0.086
7750,0.117,0.078
8000,0.103,0.065
8250,0.124,0.079
8500,0.128,0.089
8750,0.099,0.066
9000,0.095,0.057
9250,0.119,0.080
9500,0.103,0.063
9750,0.100,0.062
10000,0.101,0.065
