ep,rdi,rdavg,avg_cost
1,2.466,0.996,7.49
2,4.366,1.151,5.561
3,2.466,0.688,4.833
4,2.175,1.365,4.212
5,4.352,1.444,3.735
6,0.194,0.226,3.374
7,2.044,1.307,3.097
8,4.352,1.444,2.843
9,3.588,1.123,2.619
10,2.803,1.945,2.481
11,2.803,1.79,2.337
12,4.378,1.529,2.196
13,2.803,1.789,2.081
14,4.352,1.444,1.979
15,4.378,1.529,1.883
16,2.803,1.789,1.792
17,4.352,1.444,1.716
18,4.378,1.529,1.652
19,2.803,1.789,1.591
20,4.459,1.54,1.544
21,2.803,1.789,1.471
22,2.803,1.789,1.404
23,4.459,1.54,1.344
24,4.366,1.455,1.288
25,4.444,1.455,1.237
26,2.803,1.789,1.19
27,4.748,1.536,1.146
28,4.408,1.45,1.105
29,4.378,1.529,1.067
30,4.459,1.54,1.032
31,4.459,1.54,0.999
32,4.459,1.54,0.968
33,4.378,1.529,0.939
34,4.748,1.536,0.912
35,4.748,1.536,0.886
36,4.378,1.529,0.861
37,4.352,1.444,0.838
38,2.803,1.789,0.817
39,4.459,1.54,0.796
40,4.459,1.54,0.776
41,4.444,1.455,0.757
42,4.317,1.242,0.74
43,4.366,1.455,0.723
44,4.622,1.537,0.706
45,4.408,1.45,0.691
46,4.622,1.537,0.676
47,4.459,1.54,0.662
48,4.748,1.536,0.648
49,2.803,1.789,0.635
50,4.622,1.537,0.623
51,4.459,1.54,0.611
52,4.378,1.529,0.599
53,4.622,1.537,0.588
54,4.459,1.54,0.577
55,2.803,1.789,0.567
56,2.803,1.789,0.557
57,4.459,1.54,0.547
58,4.459,1.54,0.538
59,4.748,1.536,0.529
60,4.378,1.529,0.52
61,4.748,1.536,0.512
62,2.803,1.789,0.504
63,2.803,1.789,0.496
64,4.408,1.45,0.488
65,4.459,1.54,0.481
66,4.459,1.54,0.474
67,4.444,1.455,0.467
68,4.459,1.54,0.46
69,2.803,1.789,0.453
70,2.803,1.789,0.447
71,2.803,1.789,0.441
72,4.459,1.54,0.435
73,4.366,1.455,0.429
74,2.803,1.789,0.423
75,4.459,1.54,0.418
76,4.459,1.54,0.412
77,4.748,1.536,0.407
78,2.803,1.789,0.402
79,4.378,1.529,0.397
80,4.378,1.529,0.392
81,4.748,1.536,0.388
82,4.459,1.54,0.383
83,4.378,1.529,0.378
84,4.352,1.444,0.374
85,2.803,1.789,0.37
86,2.803,1.789,0.366
87,4.622,1.537,0.361
88,4.459,1.54,0.357
89,4.408,1.45,0.353
90,4.748,1.536,0.35
91,4.748,1.536,0.346
92,2.803,1.789,0.342
93,4.352,1.444,0.339
94,4.459,1.54,0.335
95,4.444,2.455,0.332
96,4.378,2.529,0.328
97,4.459,2.54,0.325
98,4.459,2.54,0.322
99,4.622,2.537,0.319
100,4.378,2.529,0.316
101,4.378,2.529,0.312
102,4.408,2.45,0.31
103,4.378,2.529,0.307
104,4.459,2.54,0.304
105,4.459,2.54,0.301
106,2.803,2.489,0.298
107,4.366,2.455,0.295
108,4.378,2.529,0.293
109,4.622,2.537,0.29
110,2.803,2.389,0.288
111,4.622,2.537,0.285
112,4.459,2.54,0.283
113,4.459,2.54,0.28
114,4.459,2.54,0.278
115,2.803,2.489,0.275
116,4.378,2.529,0.273
117,4.622,2.537,0.271
118,4.622,2.537,0.269
119,2.803,2.389,0.266
120,2.803,2.489,0.264
